model_id,task,model_type,status,elapsed_s,failure_class,accuracy_verdict,delta_relative
cross-encoder/ms-marco-MiniLM-L6-v2,text-classification,bert,PASS,26.4,,N/A,
ProsusAI/finbert,text-classification,bert,PASS,23.5,,N/A,
cardiffnlp/twitter-roberta-base-sentiment-latest,text-classification,roberta,PASS,23.9,,N/A,
distilbert/distilbert-base-uncased-finetuned-sst-2-english,text-classification,distilbert,PASS,23.6,,N/A,
BAAI/bge-reranker-v2-m3,text-classification,xlm-roberta,PASS,33.8,,N/A,
facebook/bart-large-mnli,text-classification,bart,PASS,107.1,,N/A,
microsoft/deberta-xlarge-mnli,text-classification,deberta,FAIL,3603.8,TIMEOUT,N/A,
BAAI/bge-reranker-base,text-classification,xlm-roberta,PASS,29.6,,N/A,
cross-encoder/ms-marco-MiniLM-L4-v2,text-classification,bert,PASS,20.6,,N/A,
mixedbread-ai/mxbai-rerank-xsmall-v1,text-classification,deberta-v2,PASS,21.8,,N/A,
w11wo/indonesian-roberta-base-posp-tagger,token-classification,roberta,PASS,27.3,,N/A,
dslim/bert-base-NER,token-classification,bert,PASS,21.9,,N/A,
StanfordAIMI/stanford-deidentifier-base,token-classification,bert,PASS,21.6,,N/A,
dbmdz/bert-large-cased-finetuned-conll03-english,token-classification,bert,PASS,28.8,,N/A,
oliverguhr/fullstop-punctuation-multilang-large,token-classification,xlm-roberta,PASS,29.0,,N/A,
Isotonic/distilbert_finetuned_ai4privacy_v2,token-classification,distilbert,PASS,23.0,,N/A,
kredor/punctuate-all,token-classification,xlm-roberta,PASS,27.5,,N/A,
obi/deid_roberta_i2b2,token-classification,roberta,PASS,30.1,,N/A,
Babelscape/wikineural-multilingual-ner,token-classification,bert,PASS,29.1,,N/A,
Jean-Baptiste/camembert-ner-with-dates,token-classification,camembert,PASS,28.2,,N/A,
ahotrod/electra_large_discriminator_squad2_512,question-answering,electra,PASS,75.4,,N/A,
deepset/roberta-base-squad2,question-answering,roberta,PASS,30.1,,N/A,
google-bert/bert-large-uncased-whole-word-masking-finetuned-squad,question-answering,bert,PASS,30.3,,N/A,
timpal0l/mdeberta-v3-base-squad2,question-answering,deberta-v2,PASS,29.5,,N/A,
distilbert/distilbert-base-cased-distilled-squad,question-answering,distilbert,PASS,20.9,,N/A,
deepset/bert-large-uncased-whole-word-masking-squad2,question-answering,bert,PASS,29.4,,N/A,
monologg/koelectra-small-v2-distilled-korquad-384,question-answering,electra,PASS,21.6,,N/A,
tau/splinter-base,question-answering,splinter,PASS,21.0,,N/A,
deepset/tinyroberta-squad2,question-answering,roberta,PASS,21.6,,N/A,
distilbert/distilbert-base-uncased-distilled-squad,question-answering,distilbert,PASS,21.6,,N/A,
google-bert/bert-base-uncased,fill-mask,bert,PASS,21.7,,N/A,
