model_id,task,model_type,status,elapsed_s,failure_class,accuracy_verdict,delta_relative
cross-encoder/ms-marco-MiniLM-L6-v2,text-classification,bert,PASS,20.4,,N/A,
ProsusAI/finbert,text-classification,bert,PASS,20.4,,N/A,
cardiffnlp/twitter-roberta-base-sentiment-latest,text-classification,roberta,PASS,17.8,,N/A,
distilbert/distilbert-base-uncased-finetuned-sst-2-english,text-classification,distilbert,PASS,16.2,,N/A,
BAAI/bge-reranker-v2-m3,text-classification,xlm-roberta,PASS,24.7,,N/A,
facebook/bart-large-mnli,text-classification,bart,FAIL,30.5,EXPORT_FAIL,N/A,
microsoft/deberta-xlarge-mnli,text-classification,deberta,PASS,26.0,,N/A,
BAAI/bge-reranker-base,text-classification,xlm-roberta,PASS,20.4,,N/A,
cross-encoder/ms-marco-MiniLM-L4-v2,text-classification,bert,PASS,16.4,,N/A,
mixedbread-ai/mxbai-rerank-xsmall-v1,text-classification,deberta-v2,PASS,17.7,,N/A,
w11wo/indonesian-roberta-base-posp-tagger,token-classification,roberta,PASS,15.7,,N/A,
dslim/bert-base-NER,token-classification,bert,PASS,14.5,,N/A,
StanfordAIMI/stanford-deidentifier-base,token-classification,bert,PASS,16.9,,N/A,
dbmdz/bert-large-cased-finetuned-conll03-english,token-classification,bert,PASS,22.8,,N/A,
oliverguhr/fullstop-punctuation-multilang-large,token-classification,xlm-roberta,PASS,24.2,,N/A,
Isotonic/distilbert_finetuned_ai4privacy_v2,token-classification,distilbert,PASS,14.4,,N/A,
kredor/punctuate-all,token-classification,xlm-roberta,PASS,20.6,,N/A,
obi/deid_roberta_i2b2,token-classification,roberta,PASS,23.6,,N/A,
Babelscape/wikineural-multilingual-ner,token-classification,bert,PASS,22.8,,N/A,
Jean-Baptiste/camembert-ner-with-dates,token-classification,camembert,PASS,16.7,,N/A,
ahotrod/electra_large_discriminator_squad2_512,question-answering,electra,PASS,61.2,,N/A,
deepset/roberta-base-squad2,question-answering,roberta,PASS,16.4,,N/A,
google-bert/bert-large-uncased-whole-word-masking-finetuned-squad,question-answering,bert,PASS,22.0,,N/A,
timpal0l/mdeberta-v3-base-squad2,question-answering,deberta-v2,PASS,23.2,,N/A,
distilbert/distilbert-base-cased-distilled-squad,question-answering,distilbert,PASS,17.4,,N/A,
deepset/bert-large-uncased-whole-word-masking-squad2,question-answering,bert,PASS,24.9,,N/A,
monologg/koelectra-small-v2-distilled-korquad-384,question-answering,electra,PASS,16.7,,N/A,
tau/splinter-base,question-answering,splinter,PASS,16.7,,N/A,
deepset/tinyroberta-squad2,question-answering,roberta,PASS,16.7,,N/A,
distilbert/distilbert-base-uncased-distilled-squad,question-answering,distilbert,PASS,15.7,,N/A,
google-bert/bert-base-uncased,fill-mask,bert,PASS,16.9,,N/A,
sentence-transformers/all-mpnet-base-v2,fill-mask,mpnet,PASS,19.2,,N/A,
FacebookAI/xlm-roberta-base,fill-mask,xlm-roberta,PASS,25.7,,N/A,
FacebookAI/roberta-large,fill-mask,roberta,PASS,23.8,,N/A,
FacebookAI/roberta-base,fill-mask,roberta,PASS,16.7,,N/A,
distilbert/distilbert-base-uncased,fill-mask,distilbert,PASS,16.7,,N/A,
FacebookAI/xlm-roberta-large,fill-mask,xlm-roberta,PASS,62.8,,N/A,
sentence-transformers/multi-qa-mpnet-base-dot-v1,fill-mask,mpnet,PASS,19.1,,N/A,
google-bert/bert-base-multilingual-uncased,fill-mask,bert,PASS,28.0,,N/A,
google-bert/bert-base-multilingual-cased,fill-mask,bert,PASS,25.5,,N/A,
Qwen/Qwen2.5-7B-Instruct,text-generation,qwen2,FAIL,1316.2,EXPORT_FAIL,N/A,
Qwen/Qwen3-0.6B,text-generation,qwen3,FAIL,367.2,EXPORT_FAIL,N/A,
openai-community/gpt2,text-generation,gpt2,FAIL,82.9,EXPORT_FAIL,N/A,
Qwen/Qwen2.5-1.5B-Instruct,text-generation,qwen2,FAIL,731.7,EXPORT_FAIL,N/A,
Qwen/Qwen2.5-0.5B-Instruct,text-generation,qwen2,FAIL,575.4,EXPORT_FAIL,N/A,
openai/gpt-oss-20b,text-generation,gpt_oss,FAIL,158.8,UNKNOWN,N/A,
Qwen/Qwen2.5-3B-Instruct,text-generation,qwen2,FAIL,1222.7,EXPORT_FAIL,N/A,
trl-internal-testing/tiny-Qwen2ForCausalLM-2.5,text-generation,qwen2,FAIL,142.1,EXPORT_FAIL,N/A,
Qwen/Qwen3-1.7B,text-generation,qwen3,FAIL,652.0,EXPORT_FAIL,N/A,
Qwen/Qwen3-8B,text-generation,qwen3,FAIL,0,TIMEOUT,N/A,
sentence-transformers/all-MiniLM-L6-v2,feature-extraction,bert,PASS,16.4,,N/A,
sentence-transformers/all-mpnet-base-v2,feature-extraction,mpnet,PASS,17.3,,N/A,
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,feature-extraction,bert,PASS,16.1,,N/A,
BAAI/bge-m3,feature-extraction,xlm-roberta,PASS,27.4,,N/A,
Xenova/paraphrase-multilingual-MiniLM-L12-v2,feature-extraction,bert,FAIL,9.4,UNKNOWN,N/A,
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,feature-extraction,xlm-roberta,PASS,22.5,,N/A,
BAAI/bge-small-en-v1.5,feature-extraction,bert,PASS,17.1,,N/A,
BAAI/bge-large-en-v1.5,feature-extraction,bert,PASS,25.2,,N/A,
BAAI/bge-base-en-v1.5,feature-extraction,bert,PASS,16.3,,N/A,
sentence-transformers/multi-qa-mpnet-base-dot-v1,feature-extraction,mpnet,PASS,16.0,,N/A,
facebook/bart-large-cnn,summarization,bart,FAIL,40.2,EXPORT_FAIL,N/A,
google-t5/t5-base,summarization,t5,FAIL,0,TIMEOUT,N/A,
google-t5/t5-small,summarization,t5,FAIL,50.2,EXPORT_FAIL,N/A,
sshleifer/distilbart-cnn-12-6,summarization,bart,FAIL,142.4,EXPORT_FAIL,N/A,
google-t5/t5-3b,summarization,t5,FAIL,167.1,EXPORT_FAIL,N/A,
google-t5/t5-large,summarization,t5,FAIL,51.6,EXPORT_FAIL,N/A,
google/pegasus-xsum,summarization,pegasus,FAIL,212.8,EXPORT_FAIL,N/A,
philschmid/bart-large-cnn-samsum,summarization,bart,FAIL,0,TIMEOUT,N/A,
moussaKam/mbarthez,summarization,mbart,FAIL,0,TIMEOUT,N/A,
knkarthick/MEETING_SUMMARY,summarization,bart,FAIL,0,TIMEOUT,N/A,
google-t5/t5-base,translation,t5,FAIL,24.9,EXPORT_FAIL,N/A,
google-t5/t5-small,translation,t5,FAIL,0,TIMEOUT,N/A,
Helsinki-NLP/opus-mt-nl-en,translation,marian,FAIL,42.0,EXPORT_FAIL,N/A,
Helsinki-NLP/opus-mt-en-ru,translation,marian,FAIL,0,TIMEOUT,N/A,
facebook/nllb-200-distilled-600M,translation,m2m_100,FAIL,0,TIMEOUT,N/A,
google-t5/t5-3b,translation,t5,FAIL,0,TIMEOUT,N/A,
