model_id,task,model_type,status,elapsed_s,failure_class,accuracy_verdict,delta_relative
Helsinki-NLP/opus-mt-fr-en,translation,marian,FAIL,0,TIMEOUT,N/A,
Helsinki-NLP/opus-mt-tr-en,translation,marian,FAIL,39.8,EXPORT_FAIL,N/A,
Helsinki-NLP/opus-mt-es-en,translation,marian,FAIL,41.1,EXPORT_FAIL,N/A,
google/madlad400-3b-mt,translation,t5,FAIL,523.2,EXPORT_FAIL,N/A,
facebook/bart-large-mnli,zero-shot-classification,bart,FAIL,0,TIMEOUT,N/A,
lxyuan/distilbert-base-multilingual-cased-sentiments-student,zero-shot-classification,distilbert,PASS,17.9,,N/A,
MoritzLaurer/deberta-v3-large-zeroshot-v2.0,zero-shot-classification,deberta-v2,PASS,30.9,,N/A,
MoritzLaurer/DeBERTa-v3-large-mnli-fever-anli-ling-wanli,zero-shot-classification,deberta-v2,PASS,30.6,,N/A,
valhalla/distilbart-mnli-12-3,zero-shot-classification,bart,FAIL,103.0,EXPORT_FAIL,N/A,
MoritzLaurer/mDeBERTa-v3-base-mnli-xnli,zero-shot-classification,deberta-v2,PASS,19.8,,N/A,
joeddav/xlm-roberta-large-xnli,zero-shot-classification,xlm-roberta,PASS,25.4,,N/A,
joeddav/bart-large-mnli-yahoo-answers,zero-shot-classification,bart,FAIL,87.3,EXPORT_FAIL,N/A,
MoritzLaurer/mDeBERTa-v3-base-xnli-multilingual-nli-2mil7,zero-shot-classification,deberta-v2,PASS,21.9,,N/A,
cross-encoder/nli-deberta-v3-small,zero-shot-classification,deberta-v2,PASS,18.4,,N/A,
sentence-transformers/all-MiniLM-L6-v2,sentence-similarity,bert,PASS,16.4,,N/A,
sentence-transformers/all-mpnet-base-v2,sentence-similarity,mpnet,PASS,16.5,,N/A,
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,sentence-similarity,bert,PASS,17.7,,N/A,
BAAI/bge-m3,sentence-similarity,xlm-roberta,PASS,26.3,,N/A,
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,sentence-similarity,xlm-roberta,PASS,21.9,,N/A,
BAAI/bge-small-en-v1.5,sentence-similarity,bert,PASS,16.4,,N/A,
BAAI/bge-large-en-v1.5,sentence-similarity,bert,PASS,21.6,,N/A,
BAAI/bge-base-en-v1.5,sentence-similarity,bert,PASS,16.7,,N/A,
sentence-transformers/multi-qa-mpnet-base-dot-v1,sentence-similarity,mpnet,PASS,17.2,,N/A,
intfloat/multilingual-e5-large,sentence-similarity,xlm-roberta,PASS,25.5,,N/A,
Falconsai/nsfw_image_detection,image-classification,vit,PASS,19.0,,N/A,
dima806/fairface_age_image_detection,image-classification,vit,PASS,16.8,,N/A,
google/vit-base-patch16-224,image-classification,vit,PASS,17.1,,N/A,
apple/mobilevit-small,image-classification,mobilevit,PASS,17.1,,N/A,
rizvandwiki/gender-classification,image-classification,vit,PASS,19.1,,N/A,
microsoft/beit-base-patch16-224-pt22k-ft22k,image-classification,beit,PASS,15.3,,N/A,
amunchet/rorshark-vit-base,image-classification,vit,PASS,16.3,,N/A,
microsoft/swin-large-patch4-window7-224,image-classification,swin,PASS,20.8,,N/A,
buildborderless/CommunityForensics-DeepfakeDet-ViT,image-classification,vit,FAIL,53.2,EXPORT_FAIL,N/A,
AdamCodd/vit-base-nsfw-detector,image-classification,vit,PASS,17.3,,N/A,
microsoft/table-transformer-detection,object-detection,table-transformer,PASS,16.8,,N/A,
microsoft/table-transformer-structure-recognition,object-detection,table-transformer,PASS,16.2,,N/A,
PekingU/rtdetr_r101vd_coco_o365,object-detection,rt_detr,PASS,53.3,,N/A,
hustvl/yolos-small,object-detection,yolos,PASS,17.7,,N/A,
facebook/detr-resnet-50,object-detection,detr,PASS,18.3,,N/A,
valentinafeve/yolos-fashionpedia,object-detection,yolos,PASS,18.1,,N/A,
microsoft/table-transformer-structure-recognition-v1.1-all,object-detection,table-transformer,PASS,16.2,,N/A,
TahaDouaji/detr-doc-table-detection,object-detection,detr,PASS,17.1,,N/A,
PekingU/rtdetr_v2_r18vd,object-detection,rt_detr_v2,PASS,25.0,,N/A,
PekingU/rtdetr_r50vd_coco_o365,object-detection,rt_detr,PASS,39.6,,N/A,
jonathandinu/face-parsing,image-segmentation,segformer,PASS,22.0,,N/A,
nvidia/segformer-b0-finetuned-ade-512-512,image-segmentation,segformer,PASS,16.2,,N/A,
Xenova/segformer-b0-finetuned-ade-512-512,image-segmentation,segformer,FAIL,9.6,UNKNOWN,N/A,
mattmdjaga/segformer_b2_clothes,image-segmentation,segformer,PASS,16.5,,N/A,
fashn-ai/fashn-human-parser,image-segmentation,segformer,PASS,18.3,,N/A,
nvidia/segformer-b5-finetuned-ade-640-640,image-segmentation,segformer,PASS,25.8,,N/A,
nvidia/segformer-b1-finetuned-ade-512-512,image-segmentation,segformer,PASS,15.8,,N/A,
nvidia/segformer-b5-finetuned-cityscapes-1024-1024,image-segmentation,segformer,PASS,33.2,,N/A,
nvidia/segformer-b2-finetuned-ade-512-512,image-segmentation,segformer,PASS,17.5,,N/A,
nvidia/segformer-b0-finetuned-cityscapes-1024-1024,image-segmentation,segformer,PASS,17.2,,N/A,
facebook/dinov2-small,image-feature-extraction,dinov2,PASS,16.8,,N/A,
facebook/dinov2-base,image-feature-extraction,dinov2,PASS,17.5,,N/A,
google/vit-base-patch16-224-in21k,image-feature-extraction,vit,PASS,16.7,,N/A,
facebook/dinov2-large,image-feature-extraction,dinov2,PASS,23.1,,N/A,
facebook/dino-vitb16,image-feature-extraction,vit,PASS,16.5,,N/A,
facebook/dinov2-giant,image-feature-extraction,dinov2,FAIL,517.6,EXPORT_FAIL,N/A,
facebook/dino-vits16,image-feature-extraction,vit,PASS,17.8,,N/A,
StanfordAIMI/dinov2-base-xray-224,image-feature-extraction,dinov2,PASS,17.4,,N/A,
hi-wesley/gemma3-vision-encoder,image-feature-extraction,siglip_vision_model,FAIL,72.1,EXPORT_FAIL,N/A,
microsoft/rad-dino,image-feature-extraction,dinov2,PASS,19.8,,N/A,
openai/clip-vit-base-patch32,zero-shot-image-classification,clip,PASS,19.5,,N/A,
openai/clip-vit-large-patch14,zero-shot-image-classification,clip,PASS,23.1,,N/A,
openai/clip-vit-large-patch14-336,zero-shot-image-classification,clip,PASS,22.7,,N/A,
openai/clip-vit-base-patch16,zero-shot-image-classification,clip,PASS,15.3,,N/A,
laion/CLIP-ViT-B-32-laion2B-s34B-b79K,zero-shot-image-classification,clip,PASS,16.7,,N/A,
patrickjohncyh/fashion-clip,zero-shot-image-classification,clip,PASS,16.6,,N/A,
google/siglip-so400m-patch14-384,zero-shot-image-classification,siglip,PASS,26.2,,N/A,
google/siglip-base-patch16-224,zero-shot-image-classification,siglip,PASS,18.9,,N/A,
Marqo/marqo-fashionSigLIP,zero-shot-image-classification,siglip,PASS,15.7,,N/A,
laion/CLIP-ViT-H-14-laion2B-s32B-b79K,zero-shot-image-classification,clip,FAIL,465.5,EXPORT_FAIL,N/A,
Intel/dpt-hybrid-midas,depth-estimation,dpt,PASS,17.1,,N/A,
Intel/dpt-large,depth-estimation,dpt,FAIL,282.9,EXPORT_FAIL,N/A,
Intel/zoedepth-nyu-kitti,depth-estimation,zoedepth,FAIL,438.6,EXPORT_FAIL,N/A,
depth-anything/Depth-Anything-V2-Small-hf,depth-estimation,depth_anything,FAIL,108.0,EXPORT_FAIL,N/A,
LiheYoung/depth-anything-large-hf,depth-estimation,depth_anything,FAIL,275.4,EXPORT_FAIL,N/A,
depth-anything/Depth-Anything-V2-Base-hf,depth-estimation,depth_anything,FAIL,141.6,EXPORT_FAIL,N/A,
depth-anything/Depth-Anything-V2-Large-hf,depth-estimation,depth_anything,FAIL,306.7,EXPORT_FAIL,N/A,
LiheYoung/depth-anything-small-hf,depth-estimation,depth_anything,FAIL,105.9,EXPORT_FAIL,N/A,
LiheYoung/depth-anything-base-hf,depth-estimation,depth_anything,FAIL,0,TIMEOUT,N/A,
apple/DepthPro-hf,depth-estimation,depth_pro,FAIL,31.0,EXPORT_FAIL,N/A,
microsoft/trocr-large-printed,image-to-text,vision-encoder-decoder,PASS,25.4,,N/A,
naver-clova-ix/donut-base,image-to-text,vision-encoder-decoder,FAIL,468.8,EXPORT_FAIL,N/A,
microsoft/trocr-base-printed,image-to-text,vision-encoder-decoder,PASS,23.5,,N/A,
nlpconnect/vit-gpt2-image-captioning,image-to-text,vision-encoder-decoder,PASS,50.5,,N/A,
microsoft/trocr-base-handwritten,image-to-text,vision-encoder-decoder,PASS,22.6,,N/A,
kha-white/manga-ocr-base,image-to-text,vision-encoder-decoder,PASS,17.2,,N/A,
microsoft/trocr-large-handwritten,image-to-text,vision-encoder-decoder,PASS,25.1,,N/A,
facebook/nougat-base,image-to-text,vision-encoder-decoder,FAIL,24.9,RUNTIME_FAIL,N/A,
breezedeus/pix2text-mfr,image-to-text,vision-encoder-decoder,FAIL,9.8,UNKNOWN,N/A,
alibaba-damo/mgp-str-base,image-to-text,mgp-str,FAIL,6.2,UNKNOWN,N/A,
google/deplot,visual-question-answering,pix2struct,FAIL,6.1,UNKNOWN,N/A,
google/pix2struct-docvqa-base,visual-question-answering,pix2struct,FAIL,6.2,UNKNOWN,N/A,
internlm/internlm-xcomposer2d5-7b,visual-question-answering,internlm2,FAIL,6.2,UNKNOWN,N/A,
google/pix2struct-ai2d-base,visual-question-answering,pix2struct,FAIL,6.2,UNKNOWN,N/A,
Salesforce/blip-vqa-base,visual-question-answering,blip,FAIL,6.1,UNKNOWN,N/A,
Salesforce/blip2-opt-2.7b,visual-question-answering,blip-2,FAIL,203.8,EXPORT_FAIL,N/A,
microsoft/Phi-4-multimodal-instruct,visual-question-answering,phi4mm,FAIL,7.5,UNKNOWN,N/A,
Salesforce/blip2-opt-2.7b-coco,visual-question-answering,blip-2,FAIL,192.7,EXPORT_FAIL,N/A,
Salesforce/blip2-flan-t5-xl,visual-question-answering,blip-2,FAIL,172.5,EXPORT_FAIL,N/A,
dandelin/vilt-b32-finetuned-vqa,visual-question-answering,vilt,FAIL,31.6,EXPORT_FAIL,N/A,
naver-clova-ix/donut-base-finetuned-docvqa,document-question-answering,vision-encoder-decoder,FAIL,6.0,UNKNOWN,N/A,
impira/layoutlm-document-qa,document-question-answering,layoutlm,FAIL,6.0,UNKNOWN,N/A,
impira/layoutlm-invoices,document-question-answering,layoutlm,FAIL,6.0,UNKNOWN,N/A,
fxmarty/tiny-doc-qa-vision-encoder-decoder,document-question-answering,vision-encoder-decoder,FAIL,6.0,UNKNOWN,N/A,
zpm/Llama-3.1-PersianQA,document-question-answering,llama,FAIL,6.1,UNKNOWN,N/A,
rubentito/layoutlmv3-base-mpdocvqa,document-question-answering,layoutlmv3,FAIL,6.1,UNKNOWN,N/A,
jinhybr/OCR-DocVQA-Donut,document-question-answering,vision-encoder-decoder,FAIL,6.0,UNKNOWN,N/A,
Xenova/donut-base-finetuned-docvqa,document-question-answering,vision-encoder-decoder,FAIL,5.9,UNKNOWN,N/A,
xhyi/layoutlmv3_docvqa_t11c5000,document-question-answering,layoutlmv3,FAIL,5.9,UNKNOWN,N/A,
pardeepSF/layoutlm-vqa,document-question-answering,bert,FAIL,5.9,UNKNOWN,N/A,
facebook/sam-vit-huge,mask-generation,sam,FAIL,5.9,UNKNOWN,N/A,
facebook/sam-vit-base,mask-generation,sam,FAIL,5.9,UNKNOWN,N/A,
facebook/sam-vit-large,mask-generation,sam,FAIL,5.9,UNKNOWN,N/A,
Xenova/slimsam-77-uniform,mask-generation,sam,FAIL,6.0,UNKNOWN,N/A,
Zigeng/SlimSAM-uniform-77,mask-generation,sam,FAIL,5.9,UNKNOWN,N/A,
flaviagiammarino/medsam-vit-base,mask-generation,sam,FAIL,6.0,UNKNOWN,N/A,
wanglab/medsam-vit-base,mask-generation,sam,FAIL,5.9,UNKNOWN,N/A,
facebook/sam2.1-hiera-large,mask-generation,sam2_video,FAIL,163.1,EXPORT_FAIL,N/A,
facebook/sam2.1-hiera-tiny,mask-generation,sam2_video,FAIL,154.2,EXPORT_FAIL,N/A,
facebook/sam2-hiera-large,mask-generation,sam2_video,FAIL,187.6,EXPORT_FAIL,N/A,
microsoft/resnet-50,image-classification,resnet,PASS,15.3,,N/A,
google-bert/bert-base-multilingual-cased,feature-extraction,bert,PASS,20.2,,N/A,
google-bert/bert-base-multilingual-cased,masked-lm,bert,PASS,21.9,,N/A,
Intel/bert-base-uncased-mrpc,feature-extraction,bert,PASS,16.5,,N/A,
Intel/bert-base-uncased-mrpc,text-classification,bert,PASS,15.9,,N/A,
openai/clip-vit-base-patch16,zero-shot-classification,clip,FAIL,6.2,UNKNOWN,N/A,
openai/clip-vit-base-patch16,feature-extraction,clip,PASS,16.2,,N/A,
openai/clip-vit-base-patch32,zero-shot-classification,clip,FAIL,6.2,UNKNOWN,N/A,
openai/clip-vit-base-patch32,feature-extraction,clip,PASS,18.7,,N/A,
laion/CLIP-ViT-B-32-laion2B-s34B-b79K,zero-shot-classification,clip,FAIL,6.1,UNKNOWN,N/A,
laion/CLIP-ViT-B-32-laion2B-s34B-b79K,feature-extraction,clip,PASS,14.8,,N/A,
facebook/convnext-tiny-224,image-classification,convnext,PASS,16.0,,N/A,
facebook/detr-resnet-50,feature-extraction,detr,PASS,19.1,,N/A,
facebook/sam2.1-hiera-small,mask-generation,sam2_video,FAIL,182.0,EXPORT_FAIL,N/A,
Salesforce/blip-image-captioning-base,image-to-text,blip,PASS,19.7,,N/A,
ai-forever/Real-ESRGAN,,unknown,FAIL,6.4,UNKNOWN,N/A,
