model_id,task,model_type,status,elapsed_s,failure_class,accuracy_verdict,delta_relative
cross-encoder/ms-marco-MiniLM-L6-v2,text-classification,bert,PASS,15.4,,N/A,
ProsusAI/finbert,text-classification,bert,FAIL,90.6,EXPORT_FAIL,N/A,
cardiffnlp/twitter-roberta-base-sentiment-latest,text-classification,roberta,PASS,45.5,,N/A,
distilbert/distilbert-base-uncased-finetuned-sst-2-english,text-classification,distilbert,PASS,17.5,,N/A,
BAAI/bge-reranker-v2-m3,text-classification,xlm-roberta,PASS,32.5,,N/A,
facebook/bart-large-mnli,text-classification,bart,FAIL,18.7,EXPORT_FAIL,N/A,
microsoft/deberta-xlarge-mnli,text-classification,deberta,PASS,871.9,,N/A,
BAAI/bge-reranker-base,text-classification,xlm-roberta,PASS,18.4,,N/A,
cross-encoder/ms-marco-MiniLM-L4-v2,text-classification,bert,PASS,15.3,,N/A,
mixedbread-ai/mxbai-rerank-xsmall-v1,text-classification,deberta-v2,PASS,123.8,,N/A,
w11wo/indonesian-roberta-base-posp-tagger,token-classification,roberta,PASS,18.4,,N/A,
dslim/bert-base-NER,token-classification,bert,PASS,18.1,,N/A,
StanfordAIMI/stanford-deidentifier-base,token-classification,bert,PASS,18.4,,N/A,
dbmdz/bert-large-cased-finetuned-conll03-english,token-classification,bert,PASS,57.4,,N/A,
oliverguhr/fullstop-punctuation-multilang-large,token-classification,xlm-roberta,PASS,25.1,,N/A,
Isotonic/distilbert_finetuned_ai4privacy_v2,token-classification,distilbert,PASS,17.2,,N/A,
kredor/punctuate-all,token-classification,xlm-roberta,PASS,20.1,,N/A,
obi/deid_roberta_i2b2,token-classification,roberta,PASS,22.7,,N/A,
Babelscape/wikineural-multilingual-ner,token-classification,bert,PASS,18.6,,N/A,
Jean-Baptiste/camembert-ner-with-dates,token-classification,camembert,PASS,18.0,,N/A,
ahotrod/electra_large_discriminator_squad2_512,question-answering,electra,PASS,52.8,,N/A,
deepset/roberta-base-squad2,question-answering,roberta,PASS,16.1,,N/A,
google-bert/bert-large-uncased-whole-word-masking-finetuned-squad,question-answering,bert,PASS,19.9,,N/A,
timpal0l/mdeberta-v3-base-squad2,question-answering,deberta-v2,PASS,175.8,,N/A,
distilbert/distilbert-base-cased-distilled-squad,question-answering,distilbert,PASS,21.3,,N/A,
deepset/bert-large-uncased-whole-word-masking-squad2,question-answering,bert,PASS,24.1,,N/A,
monologg/koelectra-small-v2-distilled-korquad-384,question-answering,electra,PASS,17.4,,N/A,
tau/splinter-base,question-answering,splinter,FAIL,149.1,EXPORT_FAIL,N/A,
deepset/tinyroberta-squad2,question-answering,roberta,PASS,15.7,,N/A,
distilbert/distilbert-base-uncased-distilled-squad,question-answering,distilbert,PASS,15.3,,N/A,
google-bert/bert-base-uncased,fill-mask,bert,PASS,16.9,,N/A,
sentence-transformers/all-mpnet-base-v2,fill-mask,mpnet,PASS,16.0,,N/A,
FacebookAI/xlm-roberta-base,fill-mask,xlm-roberta,PASS,60.3,,N/A,
FacebookAI/roberta-large,fill-mask,roberta,PASS,21.5,,N/A,
FacebookAI/roberta-base,fill-mask,roberta,PASS,17.0,,N/A,
distilbert/distilbert-base-uncased,fill-mask,distilbert,PASS,43.8,,N/A,
FacebookAI/xlm-roberta-large,fill-mask,xlm-roberta,PASS,36.4,,N/A,
sentence-transformers/multi-qa-mpnet-base-dot-v1,fill-mask,mpnet,PASS,16.8,,N/A,
google-bert/bert-base-multilingual-uncased,fill-mask,bert,PASS,20.8,,N/A,
google-bert/bert-base-multilingual-cased,fill-mask,bert,PASS,21.5,,N/A,
Qwen/Qwen2.5-7B-Instruct,text-generation,qwen2,FAIL,1932.0,EXPORT_FAIL,N/A,
Qwen/Qwen3-0.6B,text-generation,qwen3,FAIL,1625.3,EXPORT_FAIL,N/A,
openai-community/gpt2,text-generation,gpt2,FAIL,105.9,EXPORT_FAIL,N/A,
Qwen/Qwen2.5-1.5B-Instruct,text-generation,qwen2,FAIL,1498.3,EXPORT_FAIL,N/A,
Qwen/Qwen2.5-0.5B-Instruct,text-generation,qwen2,FAIL,500.1,EXPORT_FAIL,N/A,
openai/gpt-oss-20b,text-generation,gpt_oss,FAIL,10.0,UNKNOWN,N/A,
Qwen/Qwen2.5-3B-Instruct,text-generation,qwen2,FAIL,46.7,OPT_FAIL,N/A,
trl-internal-testing/tiny-Qwen2ForCausalLM-2.5,text-generation,qwen2,FAIL,29.0,EXPORT_FAIL,N/A,
Qwen/Qwen3-1.7B,text-generation,qwen3,FAIL,24.2,OPT_FAIL,N/A,
Qwen/Qwen3-8B,text-generation,qwen3,FAIL,0,TIMEOUT,N/A,
sentence-transformers/all-MiniLM-L6-v2,feature-extraction,bert,PASS,31.4,,N/A,
sentence-transformers/all-mpnet-base-v2,feature-extraction,mpnet,PASS,16.9,,N/A,
