model_id,task,model_type,status,elapsed_s,failure_class,accuracy_verdict,delta_relative
cross-encoder/ms-marco-MiniLM-L6-v2,text-classification,bert,PASS,17.8,,N/A,
ProsusAI/finbert,text-classification,bert,PASS,19.8,,N/A,
cardiffnlp/twitter-roberta-base-sentiment-latest,text-classification,roberta,PASS,18.9,,N/A,
distilbert/distilbert-base-uncased-finetuned-sst-2-english,text-classification,distilbert,PASS,74.6,,N/A,
BAAI/bge-reranker-v2-m3,text-classification,xlm-roberta,PASS,21.4,,N/A,
facebook/bart-large-mnli,text-classification,bart,FAIL,37.1,EXPORT_FAIL,N/A,
microsoft/deberta-xlarge-mnli,text-classification,deberta,PASS,57.7,,N/A,
BAAI/bge-reranker-base,text-classification,xlm-roberta,PASS,14.2,,N/A,
cross-encoder/ms-marco-MiniLM-L4-v2,text-classification,bert,PASS,14.1,,N/A,
mixedbread-ai/mxbai-rerank-xsmall-v1,text-classification,deberta-v2,PASS,56.2,,N/A,
w11wo/indonesian-roberta-base-posp-tagger,token-classification,roberta,PASS,18.0,,N/A,
dslim/bert-base-NER,token-classification,bert,PASS,14.7,,N/A,
StanfordAIMI/stanford-deidentifier-base,token-classification,bert,PASS,17.5,,N/A,
dbmdz/bert-large-cased-finetuned-conll03-english,token-classification,bert,PASS,16.0,,N/A,
oliverguhr/fullstop-punctuation-multilang-large,token-classification,xlm-roberta,PASS,21.8,,N/A,
Isotonic/distilbert_finetuned_ai4privacy_v2,token-classification,distilbert,PASS,73.1,,N/A,
kredor/punctuate-all,token-classification,xlm-roberta,PASS,22.0,,N/A,
obi/deid_roberta_i2b2,token-classification,roberta,PASS,18.9,,N/A,
Babelscape/wikineural-multilingual-ner,token-classification,bert,PASS,14.8,,N/A,
Jean-Baptiste/camembert-ner-with-dates,token-classification,camembert,PASS,14.6,,N/A,
ahotrod/electra_large_discriminator_squad2_512,question-answering,electra,PASS,16.6,,N/A,
deepset/roberta-base-squad2,question-answering,roberta,PASS,46.6,,N/A,
google-bert/bert-large-uncased-whole-word-masking-finetuned-squad,question-answering,bert,PASS,14.8,,N/A,
