model_id,task,model_type,status,elapsed_s,failure_class,accuracy_verdict,delta_relative
cross-encoder/ms-marco-MiniLM-L6-v2,text-classification,bert,PASS,21.1,,N/A,
ProsusAI/finbert,text-classification,bert,FAIL,110.6,EXPORT_FAIL,N/A,
cardiffnlp/twitter-roberta-base-sentiment-latest,text-classification,roberta,PASS,18.8,,N/A,
distilbert/distilbert-base-uncased-finetuned-sst-2-english,text-classification,distilbert,PASS,17.8,,N/A,
BAAI/bge-reranker-v2-m3,text-classification,xlm-roberta,PASS,63.9,,N/A,
facebook/bart-large-mnli,text-classification,bart,FAIL,52.1,EXPORT_FAIL,N/A,
microsoft/deberta-xlarge-mnli,text-classification,deberta,PASS,891.1,,N/A,
BAAI/bge-reranker-base,text-classification,xlm-roberta,PASS,23.6,,N/A,
cross-encoder/ms-marco-MiniLM-L4-v2,text-classification,bert,PASS,20.1,,N/A,
mixedbread-ai/mxbai-rerank-xsmall-v1,text-classification,deberta-v2,PASS,127.5,,N/A,
w11wo/indonesian-roberta-base-posp-tagger,token-classification,roberta,PASS,19.1,,N/A,
dslim/bert-base-NER,token-classification,bert,FAIL,97.7,EXPORT_FAIL,N/A,
StanfordAIMI/stanford-deidentifier-base,token-classification,bert,FAIL,101.6,EXPORT_FAIL,N/A,
dbmdz/bert-large-cased-finetuned-conll03-english,token-classification,bert,PASS,52.7,,N/A,
oliverguhr/fullstop-punctuation-multilang-large,token-classification,xlm-roberta,PASS,26.0,,N/A,
Isotonic/distilbert_finetuned_ai4privacy_v2,token-classification,distilbert,PASS,18.0,,N/A,
kredor/punctuate-all,token-classification,xlm-roberta,PASS,50.3,,N/A,
obi/deid_roberta_i2b2,token-classification,roberta,PASS,23.5,,N/A,
Babelscape/wikineural-multilingual-ner,token-classification,bert,FAIL,115.3,EXPORT_FAIL,N/A,
Jean-Baptiste/camembert-ner-with-dates,token-classification,camembert,PASS,20.1,,N/A,
ahotrod/electra_large_discriminator_squad2_512,question-answering,electra,PASS,20.8,,N/A,
deepset/roberta-base-squad2,question-answering,roberta,PASS,19.5,,N/A,
google-bert/bert-large-uncased-whole-word-masking-finetuned-squad,question-answering,bert,PASS,24.0,,N/A,
timpal0l/mdeberta-v3-base-squad2,question-answering,deberta-v2,PASS,175.0,,N/A,
distilbert/distilbert-base-cased-distilled-squad,question-answering,distilbert,PASS,17.5,,N/A,
deepset/bert-large-uncased-whole-word-masking-squad2,question-answering,bert,PASS,23.0,,N/A,
monologg/koelectra-small-v2-distilled-korquad-384,question-answering,electra,PASS,17.1,,N/A,
tau/splinter-base,question-answering,splinter,FAIL,158.2,EXPORT_FAIL,N/A,
deepset/tinyroberta-squad2,question-answering,roberta,PASS,17.8,,N/A,
distilbert/distilbert-base-uncased-distilled-squad,question-answering,distilbert,PASS,17.1,,N/A,
google-bert/bert-base-uncased,fill-mask,bert,PASS,18.1,,N/A,
sentence-transformers/all-mpnet-base-v2,fill-mask,mpnet,PASS,17.5,,N/A,
FacebookAI/xlm-roberta-base,fill-mask,xlm-roberta,PASS,27.0,,N/A,
FacebookAI/roberta-large,fill-mask,roberta,PASS,22.5,,N/A,
FacebookAI/roberta-base,fill-mask,roberta,PASS,18.5,,N/A,
distilbert/distilbert-base-uncased,fill-mask,distilbert,PASS,17.3,,N/A,
FacebookAI/xlm-roberta-large,fill-mask,xlm-roberta,PASS,63.2,,N/A,
sentence-transformers/multi-qa-mpnet-base-dot-v1,fill-mask,mpnet,PASS,17.3,,N/A,
google-bert/bert-base-multilingual-uncased,fill-mask,bert,PASS,21.3,,N/A,
google-bert/bert-base-multilingual-cased,fill-mask,bert,PASS,22.0,,N/A,
Qwen/Qwen2.5-7B-Instruct,text-generation,qwen2,FAIL,1481.5,EXPORT_FAIL,N/A,
Qwen/Qwen3-0.6B,text-generation,qwen3,FAIL,1508.8,EXPORT_FAIL,N/A,
openai-community/gpt2,text-generation,gpt2,FAIL,161.0,EXPORT_FAIL,N/A,
Qwen/Qwen2.5-1.5B-Instruct,text-generation,qwen2,FAIL,2219.6,EXPORT_FAIL,N/A,
Qwen/Qwen2.5-0.5B-Instruct,text-generation,qwen2,FAIL,770.5,EXPORT_FAIL,N/A,
openai/gpt-oss-20b,text-generation,gpt_oss,FAIL,327.0,UNKNOWN,N/A,
Qwen/Qwen2.5-3B-Instruct,text-generation,qwen2,FAIL,51.5,OPT_FAIL,N/A,
trl-internal-testing/tiny-Qwen2ForCausalLM-2.5,text-generation,qwen2,FAIL,27.7,EXPORT_FAIL,N/A,
Qwen/Qwen3-1.7B,text-generation,qwen3,FAIL,52.5,OPT_FAIL,N/A,
Qwen/Qwen3-8B,text-generation,qwen3,FAIL,0,TIMEOUT,N/A,
sentence-transformers/all-MiniLM-L6-v2,feature-extraction,bert,PASS,49.0,,N/A,
sentence-transformers/all-mpnet-base-v2,feature-extraction,mpnet,PASS,18.8,,N/A,
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,feature-extraction,bert,FAIL,113.4,EXPORT_FAIL,N/A,
BAAI/bge-m3,feature-extraction,xlm-roberta,PASS,36.1,,N/A,
Xenova/paraphrase-multilingual-MiniLM-L12-v2,feature-extraction,bert,FAIL,15.4,UNKNOWN,N/A,
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,feature-extraction,xlm-roberta,PASS,21.8,,N/A,
BAAI/bge-small-en-v1.5,feature-extraction,bert,FAIL,87.1,EXPORT_FAIL,N/A,
BAAI/bge-large-en-v1.5,feature-extraction,bert,PASS,23.3,,N/A,
BAAI/bge-base-en-v1.5,feature-extraction,bert,FAIL,108.0,EXPORT_FAIL,N/A,
sentence-transformers/multi-qa-mpnet-base-dot-v1,feature-extraction,mpnet,PASS,18.7,,N/A,
facebook/bart-large-cnn,summarization,bart,FAIL,58.6,EXPORT_FAIL,N/A,
google-t5/t5-base,summarization,t5,FAIL,0,TIMEOUT,N/A,
google-t5/t5-small,summarization,t5,FAIL,20.9,EXPORT_FAIL,N/A,
sshleifer/distilbart-cnn-12-6,summarization,bart,FAIL,70.5,EXPORT_FAIL,N/A,
google-t5/t5-3b,summarization,t5,FAIL,255.0,EXPORT_FAIL,N/A,
google-t5/t5-large,summarization,t5,FAIL,82.0,EXPORT_FAIL,N/A,
google/pegasus-xsum,summarization,pegasus,FAIL,111.2,EXPORT_FAIL,N/A,
philschmid/bart-large-cnn-samsum,summarization,bart,FAIL,0,TIMEOUT,N/A,
moussaKam/mbarthez,summarization,mbart,FAIL,0,TIMEOUT,N/A,
knkarthick/MEETING_SUMMARY,summarization,bart,FAIL,0,TIMEOUT,N/A,
google-t5/t5-base,translation,t5,FAIL,34.3,EXPORT_FAIL,N/A,
google-t5/t5-small,translation,t5,FAIL,0,TIMEOUT,N/A,
Helsinki-NLP/opus-mt-nl-en,translation,marian,FAIL,33.0,EXPORT_FAIL,N/A,
Helsinki-NLP/opus-mt-en-ru,translation,marian,FAIL,0,TIMEOUT,N/A,
facebook/nllb-200-distilled-600M,translation,m2m_100,FAIL,0,TIMEOUT,N/A,
google-t5/t5-3b,translation,t5,FAIL,0,TIMEOUT,N/A,
Helsinki-NLP/opus-mt-fr-en,translation,marian,FAIL,0,TIMEOUT,N/A,
Helsinki-NLP/opus-mt-tr-en,translation,marian,FAIL,31.4,EXPORT_FAIL,N/A,
Helsinki-NLP/opus-mt-es-en,translation,marian,FAIL,31.0,EXPORT_FAIL,N/A,
google/madlad400-3b-mt,translation,t5,FAIL,262.6,EXPORT_FAIL,N/A,
facebook/bart-large-mnli,zero-shot-classification,bart,FAIL,0,TIMEOUT,N/A,
lxyuan/distilbert-base-multilingual-cased-sentiments-student,zero-shot-classification,distilbert,PASS,19.3,,N/A,
MoritzLaurer/deberta-v3-large-zeroshot-v2.0,zero-shot-classification,deberta-v2,PASS,351.3,,N/A,
MoritzLaurer/DeBERTa-v3-large-mnli-fever-anli-ling-wanli,zero-shot-classification,deberta-v2,PASS,371.7,,N/A,
valhalla/distilbart-mnli-12-3,zero-shot-classification,bart,FAIL,60.0,EXPORT_FAIL,N/A,
MoritzLaurer/mDeBERTa-v3-base-mnli-xnli,zero-shot-classification,deberta-v2,PASS,135.8,,N/A,
joeddav/xlm-roberta-large-xnli,zero-shot-classification,xlm-roberta,PASS,29.3,,N/A,
joeddav/bart-large-mnli-yahoo-answers,zero-shot-classification,bart,FAIL,50.8,EXPORT_FAIL,N/A,
MoritzLaurer/mDeBERTa-v3-base-xnli-multilingual-nli-2mil7,zero-shot-classification,deberta-v2,PASS,137.8,,N/A,
cross-encoder/nli-deberta-v3-small,zero-shot-classification,deberta-v2,PASS,72.6,,N/A,
sentence-transformers/all-MiniLM-L6-v2,sentence-similarity,bert,PASS,17.6,,N/A,
sentence-transformers/all-mpnet-base-v2,sentence-similarity,mpnet,PASS,18.7,,N/A,
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,sentence-similarity,bert,FAIL,61.8,EXPORT_FAIL,N/A,
BAAI/bge-m3,sentence-similarity,xlm-roberta,PASS,67.0,,N/A,
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,sentence-similarity,xlm-roberta,PASS,22.0,,N/A,
BAAI/bge-small-en-v1.5,sentence-similarity,bert,FAIL,45.9,EXPORT_FAIL,N/A,
BAAI/bge-large-en-v1.5,sentence-similarity,bert,PASS,22.3,,N/A,
BAAI/bge-base-en-v1.5,sentence-similarity,bert,FAIL,90.6,EXPORT_FAIL,N/A,
sentence-transformers/multi-qa-mpnet-base-dot-v1,sentence-similarity,mpnet,PASS,17.3,,N/A,
intfloat/multilingual-e5-large,sentence-similarity,xlm-roberta,PASS,24.4,,N/A,
Falconsai/nsfw_image_detection,image-classification,vit,PASS,16.2,,N/A,
dima806/fairface_age_image_detection,image-classification,vit,PASS,15.9,,N/A,
google/vit-base-patch16-224,image-classification,vit,PASS,16.2,,N/A,
apple/mobilevit-small,image-classification,mobilevit,PASS,16.9,,N/A,
rizvandwiki/gender-classification,image-classification,vit,PASS,16.6,,N/A,
microsoft/beit-base-patch16-224-pt22k-ft22k,image-classification,beit,FAIL,154.9,EXPORT_FAIL,N/A,
amunchet/rorshark-vit-base,image-classification,vit,PASS,16.9,,N/A,
microsoft/swin-large-patch4-window7-224,image-classification,swin,PASS,386.4,,N/A,
buildborderless/CommunityForensics-DeepfakeDet-ViT,image-classification,vit,FAIL,38.8,EXPORT_FAIL,N/A,
AdamCodd/vit-base-nsfw-detector,image-classification,vit,PASS,21.5,,N/A,
microsoft/table-transformer-detection,object-detection,table-transformer,FAIL,194.4,EXPORT_FAIL,N/A,
microsoft/table-transformer-structure-recognition,object-detection,table-transformer,PASS,48.5,,N/A,
PekingU/rtdetr_r101vd_coco_o365,object-detection,rt_detr,FAIL,130.5,EXPORT_FAIL,N/A,
