model_id,task,model_type,status,elapsed_s,failure_class,accuracy_verdict,delta_relative
hustvl/yolos-small,object-detection,yolos,PASS,17.5,,N/A,
facebook/detr-resnet-50,object-detection,detr,PASS,17.5,,N/A,
valentinafeve/yolos-fashionpedia,object-detection,yolos,PASS,17.6,,N/A,
microsoft/table-transformer-structure-recognition-v1.1-all,object-detection,table-transformer,FAIL,180.0,EXPORT_FAIL,N/A,
TahaDouaji/detr-doc-table-detection,object-detection,detr,PASS,17.3,,N/A,
PekingU/rtdetr_v2_r18vd,object-detection,rt_detr_v2,FAIL,38.4,EXPORT_FAIL,N/A,
PekingU/rtdetr_r50vd_coco_o365,object-detection,rt_detr,FAIL,93.9,EXPORT_FAIL,N/A,
jonathandinu/face-parsing,image-segmentation,segformer,PASS,54.6,,N/A,
nvidia/segformer-b0-finetuned-ade-512-512,image-segmentation,segformer,PASS,19.3,,N/A,
Xenova/segformer-b0-finetuned-ade-512-512,image-segmentation,segformer,FAIL,13.6,UNKNOWN,N/A,
mattmdjaga/segformer_b2_clothes,image-segmentation,segformer,PASS,19.5,,N/A,
fashn-ai/fashn-human-parser,image-segmentation,segformer,PASS,52.7,,N/A,
nvidia/segformer-b5-finetuned-ade-640-640,image-segmentation,segformer,PASS,58.2,,N/A,
nvidia/segformer-b1-finetuned-ade-512-512,image-segmentation,segformer,PASS,18.2,,N/A,
nvidia/segformer-b5-finetuned-cityscapes-1024-1024,image-segmentation,segformer,PASS,83.2,,N/A,
nvidia/segformer-b2-finetuned-ade-512-512,image-segmentation,segformer,PASS,19.5,,N/A,
nvidia/segformer-b0-finetuned-cityscapes-1024-1024,image-segmentation,segformer,PASS,17.2,,N/A,
facebook/dinov2-small,image-feature-extraction,dinov2,PASS,17.0,,N/A,
facebook/dinov2-base,image-feature-extraction,dinov2,PASS,49.5,,N/A,
google/vit-base-patch16-224-in21k,image-feature-extraction,vit,PASS,16.0,,N/A,
facebook/dinov2-large,image-feature-extraction,dinov2,PASS,18.4,,N/A,
facebook/dino-vitb16,image-feature-extraction,vit,PASS,15.7,,N/A,
facebook/dinov2-giant,image-feature-extraction,dinov2,PASS,33.5,,N/A,
facebook/dino-vits16,image-feature-extraction,vit,FAIL,34.9,EXPORT_FAIL,N/A,
StanfordAIMI/dinov2-base-xray-224,image-feature-extraction,dinov2,PASS,18.5,,N/A,
hi-wesley/gemma3-vision-encoder,image-feature-extraction,siglip_vision_model,FAIL,64.5,EXPORT_FAIL,N/A,
microsoft/rad-dino,image-feature-extraction,dinov2,PASS,31.3,,N/A,
openai/clip-vit-base-patch32,zero-shot-image-classification,clip,FAIL,291.8,EXPORT_FAIL,N/A,
openai/clip-vit-large-patch14,zero-shot-image-classification,clip,FAIL,490.7,EXPORT_FAIL,N/A,
openai/clip-vit-large-patch14-336,zero-shot-image-classification,clip,FAIL,568.7,EXPORT_FAIL,N/A,
openai/clip-vit-base-patch16,zero-shot-image-classification,clip,FAIL,239.0,EXPORT_FAIL,N/A,
laion/CLIP-ViT-B-32-laion2B-s34B-b79K,zero-shot-image-classification,clip,FAIL,266.8,EXPORT_FAIL,N/A,
patrickjohncyh/fashion-clip,zero-shot-image-classification,clip,FAIL,286.6,EXPORT_FAIL,N/A,
google/siglip-so400m-patch14-384,zero-shot-image-classification,siglip,PASS,796.0,,N/A,
google/siglip-base-patch16-224,zero-shot-image-classification,siglip,PASS,178.9,,N/A,
Marqo/marqo-fashionSigLIP,zero-shot-image-classification,siglip,PASS,201.5,,N/A,
laion/CLIP-ViT-H-14-laion2B-s32B-b79K,zero-shot-image-classification,clip,PASS,51.2,,N/A,
Intel/dpt-hybrid-midas,depth-estimation,dpt,PASS,18.2,,N/A,
Intel/dpt-large,depth-estimation,dpt,PASS,21.5,,N/A,
Intel/zoedepth-nyu-kitti,depth-estimation,zoedepth,PASS,63.1,,N/A,
depth-anything/Depth-Anything-V2-Small-hf,depth-estimation,depth_anything,FAIL,71.2,EXPORT_FAIL,N/A,
LiheYoung/depth-anything-large-hf,depth-estimation,depth_anything,FAIL,384.2,EXPORT_FAIL,N/A,
depth-anything/Depth-Anything-V2-Base-hf,depth-estimation,depth_anything,FAIL,162.7,EXPORT_FAIL,N/A,
depth-anything/Depth-Anything-V2-Large-hf,depth-estimation,depth_anything,FAIL,379.7,EXPORT_FAIL,N/A,
LiheYoung/depth-anything-small-hf,depth-estimation,depth_anything,FAIL,72.0,EXPORT_FAIL,N/A,
LiheYoung/depth-anything-base-hf,depth-estimation,depth_anything,FAIL,0,TIMEOUT,N/A,
apple/DepthPro-hf,depth-estimation,depth_pro,FAIL,52.1,EXPORT_FAIL,N/A,
microsoft/trocr-large-printed,image-to-text,vision-encoder-decoder,PASS,22.7,,N/A,
naver-clova-ix/donut-base,image-to-text,vision-encoder-decoder,PASS,905.9,,N/A,
microsoft/trocr-base-printed,image-to-text,vision-encoder-decoder,PASS,19.1,,N/A,
nlpconnect/vit-gpt2-image-captioning,image-to-text,vision-encoder-decoder,PASS,32.7,,N/A,
microsoft/trocr-base-handwritten,image-to-text,vision-encoder-decoder,PASS,47.3,,N/A,
kha-white/manga-ocr-base,image-to-text,vision-encoder-decoder,PASS,16.2,,N/A,
microsoft/trocr-large-handwritten,image-to-text,vision-encoder-decoder,PASS,50.6,,N/A,
facebook/nougat-base,image-to-text,vision-encoder-decoder,PASS,629.4,,N/A,
breezedeus/pix2text-mfr,image-to-text,vision-encoder-decoder,FAIL,13.3,UNKNOWN,N/A,
alibaba-damo/mgp-str-base,image-to-text,mgp-str,FAIL,10.1,UNKNOWN,N/A,
google/deplot,visual-question-answering,pix2struct,FAIL,10.0,UNKNOWN,N/A,
google/pix2struct-docvqa-base,visual-question-answering,pix2struct,FAIL,10.1,UNKNOWN,N/A,
internlm/internlm-xcomposer2d5-7b,visual-question-answering,internlm2,FAIL,10.1,UNKNOWN,N/A,
google/pix2struct-ai2d-base,visual-question-answering,pix2struct,FAIL,10.1,UNKNOWN,N/A,
Salesforce/blip-vqa-base,visual-question-answering,blip,FAIL,10.2,UNKNOWN,N/A,
Salesforce/blip2-opt-2.7b,visual-question-answering,blip-2,FAIL,311.5,EXPORT_FAIL,N/A,
microsoft/Phi-4-multimodal-instruct,visual-question-answering,phi4mm,FAIL,10.5,UNKNOWN,N/A,
Salesforce/blip2-opt-2.7b-coco,visual-question-answering,blip-2,FAIL,340.4,EXPORT_FAIL,N/A,
Salesforce/blip2-flan-t5-xl,visual-question-answering,blip-2,FAIL,339.6,EXPORT_FAIL,N/A,
dandelin/vilt-b32-finetuned-vqa,visual-question-answering,vilt,FAIL,33.7,EXPORT_FAIL,N/A,
naver-clova-ix/donut-base-finetuned-docvqa,document-question-answering,vision-encoder-decoder,FAIL,10.3,UNKNOWN,N/A,
impira/layoutlm-document-qa,document-question-answering,layoutlm,FAIL,10.1,UNKNOWN,N/A,
impira/layoutlm-invoices,document-question-answering,layoutlm,FAIL,10.1,UNKNOWN,N/A,
fxmarty/tiny-doc-qa-vision-encoder-decoder,document-question-answering,vision-encoder-decoder,FAIL,10.3,UNKNOWN,N/A,
zpm/Llama-3.1-PersianQA,document-question-answering,llama,FAIL,10.4,UNKNOWN,N/A,
rubentito/layoutlmv3-base-mpdocvqa,document-question-answering,layoutlmv3,FAIL,9.9,UNKNOWN,N/A,
jinhybr/OCR-DocVQA-Donut,document-question-answering,vision-encoder-decoder,FAIL,10.1,UNKNOWN,N/A,
Xenova/donut-base-finetuned-docvqa,document-question-answering,vision-encoder-decoder,FAIL,12.8,UNKNOWN,N/A,
xhyi/layoutlmv3_docvqa_t11c5000,document-question-answering,layoutlmv3,FAIL,11.7,UNKNOWN,N/A,
pardeepSF/layoutlm-vqa,document-question-answering,bert,FAIL,10.2,UNKNOWN,N/A,
facebook/sam-vit-huge,mask-generation,sam,FAIL,10.4,UNKNOWN,N/A,
facebook/sam-vit-base,mask-generation,sam,FAIL,10.0,UNKNOWN,N/A,
facebook/sam-vit-large,mask-generation,sam,FAIL,10.3,UNKNOWN,N/A,
Xenova/slimsam-77-uniform,mask-generation,sam,FAIL,33.8,UNKNOWN,N/A,
Zigeng/SlimSAM-uniform-77,mask-generation,sam,FAIL,11.3,UNKNOWN,N/A,
flaviagiammarino/medsam-vit-base,mask-generation,sam,FAIL,10.6,UNKNOWN,N/A,
wanglab/medsam-vit-base,mask-generation,sam,FAIL,10.2,UNKNOWN,N/A,
facebook/sam2.1-hiera-large,mask-generation,sam2_video,PASS,16.1,,N/A,
facebook/sam2.1-hiera-tiny,mask-generation,sam2_video,PASS,15.8,,N/A,
facebook/sam2-hiera-large,mask-generation,sam2_video,PASS,16.0,,N/A,
microsoft/resnet-50,image-classification,resnet,PASS,15.3,,N/A,
google-bert/bert-base-multilingual-cased,feature-extraction,bert,FAIL,98.9,EXPORT_FAIL,N/A,
google-bert/bert-base-multilingual-cased,masked-lm,bert,PASS,21.1,,N/A,
Intel/bert-base-uncased-mrpc,feature-extraction,bert,FAIL,99.6,EXPORT_FAIL,N/A,
Intel/bert-base-uncased-mrpc,text-classification,bert,FAIL,88.0,EXPORT_FAIL,N/A,
openai/clip-vit-base-patch16,zero-shot-classification,clip,FAIL,10.2,UNKNOWN,N/A,
openai/clip-vit-base-patch16,feature-extraction,clip,PASS,16.3,,N/A,
openai/clip-vit-base-patch32,zero-shot-classification,clip,FAIL,10.4,UNKNOWN,N/A,
openai/clip-vit-base-patch32,feature-extraction,clip,PASS,16.2,,N/A,
laion/CLIP-ViT-B-32-laion2B-s34B-b79K,zero-shot-classification,clip,FAIL,11.0,UNKNOWN,N/A,
laion/CLIP-ViT-B-32-laion2B-s34B-b79K,feature-extraction,clip,PASS,16.3,,N/A,
facebook/convnext-tiny-224,image-classification,convnext,FAIL,88.3,EXPORT_FAIL,N/A,
facebook/detr-resnet-50,feature-extraction,detr,FAIL,200.6,EXPORT_FAIL,N/A,
facebook/sam2.1-hiera-small,mask-generation,sam2_video,PASS,45.1,,N/A,
Salesforce/blip-image-captioning-base,image-to-text,blip,PASS,20.0,,N/A,
ai-forever/Real-ESRGAN,,unknown,FAIL,10.5,UNKNOWN,N/A,
