layerName,real_ms,cpu_ms,dpu_ms,dma_ms,reldiff_real_dpu,reldiff_real_dma,reldiff_cpu_dpu,reldiff_cpu_dma,ratio_dpu_real,ratio_dpu_cpu,ratio_dma_real,ratio_dma_cpu,mapA_score,mapB_score,better_mapping
/classifier/classifier.1/Gemm/WithoutBiases,0.054000,0.038000,0.023951,0.137739,0.7710,0.8735,0.4536,1.1351,0.4435,0.6303,2.5507,3.6247,0.9530,0.6635,"B (real~DMA,cpu~DPU)"
/resnet/embedder/embedder/convolution/Conv/WithoutBiases,0.116000,0.464000,0.259760,0.007634,0.7652,1.7530,0.5644,1.9353,2.2393,0.5598,0.0658,0.0165,1.3502,1.1587,"B (real~DMA,cpu~DPU)"
/resnet/embedder/pooler/MaxPool,0.015000,0.062000,0.027974,0.000000,0.6038,2.0000,0.7564,2.0000,1.8649,0.4512,0.0000,0.0000,1.3019,1.3782,"A (real~DPU,cpu~DMA)"
/resnet/encoder/stages.0/layers.0/Add,0.019000,0.076000,0.035228,0.000000,0.5985,2.0000,0.7331,2.0000,1.8541,0.4635,0.0000,0.0000,1.2993,1.3666,"A (real~DPU,cpu~DMA)"
/resnet/encoder/stages.0/layers.0/layer/layer.0/convolution/Conv/WithoutBiases,0.006000,0.023000,0.012812,0.001150,0.7242,1.3566,0.5690,1.8095,2.1353,0.5570,0.1917,0.0500,1.2669,0.9628,"B (real~DMA,cpu~DPU)"
/resnet/encoder/stages.0/layers.0/layer/layer.1/convolution/Conv/WithoutBiases,0.032000,0.130000,0.056643,0.002351,0.5560,1.7262,0.7861,1.9289,1.7701,0.4357,0.0735,0.0181,1.2425,1.2562,"A (real~DPU,cpu~DMA)"
/resnet/encoder/stages.0/layers.0/layer/layer.2/convolution/Conv/WithoutBiases,0.020000,0.080000,0.048756,0.001738,0.8365,1.6802,0.4853,1.9149,2.4378,0.6095,0.0869,0.0217,1.3757,1.0828,"B (real~DMA,cpu~DPU)"
/resnet/encoder/stages.0/layers.0/shortcut/convolution/Conv/WithoutBiases,0.020000,0.081000,0.049736,0.001962,0.8528,1.6427,0.4783,1.9054,2.4868,0.6140,0.0981,0.0242,1.3791,1.0605,"B (real~DMA,cpu~DPU)"
/resnet/encoder/stages.0/layers.1/Add,0.019000,0.076000,0.035228,0.000000,0.5985,2.0000,0.7331,2.0000,1.8541,0.4635,0.0000,0.0000,1.2993,1.3666,"A (real~DPU,cpu~DMA)"
/resnet/encoder/stages.0/layers.1/layer/layer.0/convolution/Conv/WithoutBiases,0.015000,0.060000,0.029940,0.001783,0.6649,1.5750,0.6684,1.8846,1.9960,0.4990,0.1189,0.0297,1.2747,1.1217,"B (real~DMA,cpu~DPU)"
